lat,long
-29.689121,-51.063429
36.851773,-76.27672
-34.75132,-58.385682
-25.062983,31.262388
46.213265,6.111767
4.440689,-75.169936
39.249246,28.180066
-6.14957,106.89003
6.018378,116.126075
36.510736,-6.273916
-6.131391,106.809491
19.242017,72.857626
18.805972,-71.217029
34.638402,136.129949
14.108542,121.142581
37.501507,-77.443736
13.691589,100.75244
-7.2627,112.7477
-19.938388,-43.934853
38.916198,-77.043994
39.632118,-8.676512
6.36778,5.64168
10.755653,122.569832
43.3641,-5.84662
51.711712,39.140613
14.563383,121.00204
21.596533,39.249042
38.186245,140.319676
-34.632846,-58.500111
36.745894,-76.240737
33.264739,130.289704
41.130179,-85.105515
49.347017,1.104711
-23.985485,-46.276281
-6.364346,106.728732
-7.832304,110.358653
40.125507,-75.335342
41.215908,28.760611
55.010732,-1.58619
11.205954,-74.226353
13.759997,100.563387
12.425534,125.044054
51.802089,-0.101822
-6.171376,106.661907
52.521917,-1.494591
41.972652,-87.651567
13.746702,100.534069
-19.897635,-43.999759
-8.213932,112.754542
5.055204,-75.507542
13.532423,144.899246
8.414415,-82.435823
34.756999,-82.475834
51.369019,-0.183256
14.656907,120.952252
14.48239,120.97817
19.589453,-70.98493
-23.522981,-46.521101
-7.368061,112.711357
-12.019359,-76.824793
32.172365,-94.787629
-8.117863,115.093845
41.743448,-72.677577
3.060644,101.52332
37.92611,32.414011
18.283926,99.499691
-3.803042,103.526667
-35.094884,-59.774198
33.675989,-117.335169
-2.887199,-40.117644
39.77993,30.51037
36.843851,28.256111
37.360822,-79.962974
-6.641526,107.412381
26.434306,50.103353
19.31322,-99.124238
7.106413,6.672994
-6.186861,107.010388
7.532401,3.915225
18.5205,-69.884691
-6.1768,106.85395
-7.39902,109.24541
-6.22685,106.85486
3.108342,101.591491
48.697846,2.357304
53.53345,-113.50173
41.08835,28.989499
-3.990344,122.566697
29.945855,-95.363118
-6.351482,107.343592
41.075815,-80.063522
-31.335916,-54.084583
33.555583,133.753856
1.521101,110.382636
-34.952215,-57.985321
-11.994392,-77.008183
49.255089,2.487704
42.918282,-82.47607
-7.95067,110.21988
-2.92904,104.70476
38.159049,140.878912
40.074331,-83.029977
6.584148,3.367002
-38.008759,-57.717608
37.431434,15.028341
41.371079,-83.65023
-6.852787,107.912532
-7.78373,110.37809
-22.887251,-43.451765
-9.664216,-35.711478
33.294442,130.508143
29.109166,48.13168
19.070575,72.822297
40.086136,8.492907
35.728158,-78.554697
-9.666848,-35.744248
39.759126,-76.103237
-21.991315,-47.366387
14.579352,121.188459
39.488658,-84.32278
34.130039,136.268235
35.455164,-80.739892
30.006952,31.302423
36.918929,34.894373
39.2314,-8.765901
39.477095,-6.359727
23.608876,58.551777
-24.299996,-47.022147
40.285804,-78.913953
39.335411,-83.704025
13.912721,100.546985
29.939483,-89.951996
-18.910515,-48.31437
-6.324561,106.837645
-6.23964,106.62914
35.739079,139.992741
34.967096,135.772691
34.258977,133.809297
56.293762,43.943334
3.192344,101.692108
43.160954,-77.617955
42.250062,-4.968561
47.903589,33.396554
42.375517,-87.840373
25.342012,56.349838
41.878114,-87.629798
23.593211,58.411204
13.302213,101.11571
-21.677437,-49.753892
33.823237,-78.669959
35.084789,136.673795
37.694843,-81.525718
24.698003,46.849052
11.997969,120.202859
-6.806561,39.222162
42.792305,-71.85975
0.56428,123.075614
39.932569,32.866354
34.689312,135.109522
-1.725482,-48.88471
21.040491,-89.646711
14.145081,120.939354
10.081229,-69.290818
